,Элемент 1,Элемент 2,cov>0.5
0,"Mg, %","Si, %",0.98
1,"Mo, %","Mn, %",0.52
2,"Mo, %","Cu, %",0.86
3,"O, %","Fe, %",0.58
4,"N, %","Fe, %",0.56
5,"N, %","C, %",0.65
6,"Nb, %","Cr, %",0.91
7,"Nb, %","Mo, %",0.89
8,"B, %","Cu, %",0.84
9,"B, %","Cr, %",0.91
10,"B, %","Mo, %",0.89
11,"B, %","Nb, %",1.0
12,"S, %","Fe, %",0.53
13,"S, %","C, %",1.0
14,"S, %","O, %",0.76
15,"S, %","N, %",0.65
16,"Co, %","Cu, %",1.0
17,"Co, %","B, %",1.0
18,"Co, %","S, %",0.96
19,"H, %","Fe, %",0.55
20,"H, %","C, %",1.0
21,"H, %","O, %",0.76
22,"H, %","N, %",0.65
23,"H, %","S, %",1.0
24,"Pb, %","Zn, %",1.0
25,"Sn, %","Cu, %",0.82
26,"Sb, %","Ni, %",0.96
27,"Sb, %","Pb, %",1.0
28,"Sb, %","Sn, %",0.91
29,"Cd, %","Cu, %",0.96
30,"Cd, %","Pb, %",0.5
31,"Cd, %","Sn, %",0.89
32,"Cd, %","Sb, %",1.0
33,"Pd, %","Au, %",0.95
34,"Ir, %","Au, %",1.0
35,"Ir, %","Pd, %",0.95
36,"W, %","Ni, %",0.67
